title,rating,release,developer,genre
Soukoku no Arterial,0.0,,Eushully,"Для взрослых (18+), Визуальная новелла, Одиночная, Текст"
Glassbreakers: Champions of Moss,4.1,,Polyarc,"Спин-офф, Мультиплеер, Пошаговая, Тактика, Фэнтези, Одиночная, Кооперативная, Сверху/Изометрия, VR"
England Exchange,0.0,,Hanabira,"Симулятор, Визуальная новелла, Одиночная, Текст"
The Pactmaker,0.0,,Alejandro Pascual,"Приключение, Квест, Детектив/Тайна, Одиночная, Вид сбоку"
Last Front,0.0,,Murzin Studio,"Мультиплеер, Стратегия, В реальном времени, Война, Одиночная, Сверху/Изометрия"
SAMURAI BRINGER - RAMPAGE -,0.0,,ALPHAWING,"Карточная, Стратегия, Пошаговая, Одиночная, Сверху/Изометрия"
Outpost Delta,0.0,,Hidden Achievement LLC,"Экшн, Шутер, Платформер, Научная фантастика, Одиночная, Вид сбоку"
Cute Knight,0.0,,Hanako Games,"Симулятор, Визуальная новелла, Фэнтези, Одиночная, Текст"
Amayui Labyrinth Meister,0.0,,Eushully,"Для взрослых (18+), Визуальная новелла, Одиночная, Текст"
FORENSIC - M.E. Protocol,0.0,,k148 Game Studio,"Симулятор, Детектив/Тайна, Одиночная, От первого лица"
PATLABOR the Case Files,0.0,,Chime Corporation,"Экшн, Симулятор, Hack & Slash/Beat 'em up, Научная фантастика, Одиночная, От третьего лица"
Girls Are Weird,0.0,,Bentosmile,"Визуальная новелла, Комедия, Романтика, Одиночная, Текст"
Terminator: Dark Fate - Defiance: Uprising,3.7,,Slitherine Ltd.,"Дополнение, Мультиплеер, Стратегия, В реальном времени, Война, Научная фантастика, Одиночная, Сверху/Изометрия"
Cockwork Industries Complete,0.0,,Digital Seductions,"Для взрослых (18+), Визуальная новелла, Романтика, Одиночная, Текст"
eBaseball: PRO SPIRIT 2026,0.0,,Konami,"Мультиплеер, Спортивная, Одиночная, От третьего лица"
Football Mogul 15,0.0,,Sports Mogul,"Спортивная, Стратегия, Одиночная, Текст"
Grampy Katz in the Big Date,0.0,,Meowza Games,PC
Mario's Early Years: Fun With Letters,0.0,,The Software Toolworks,"Обучающая, Одиночная"
Good Job (2026),0.0,,GiggleFart Studio,"Симулятор, Одиночная, От первого лица"
West Escape,0.0,,Estoty,"Экшн, Одиночная, Сверху/Изометрия"
Spooky Spirit Shooting Gallery,0.0,,Nippon Columbia,"Экшн, Аркада, Шутер, Одиночная, Кооперативная, Разделённый экран, От первого лица"
Stellaris: Nomads,4.3,,Paradox Development Studio,Дополнение
Echoes of the Flame,0.0,,紺ノトバリ / Konno Tobari,"Ролевая, Пошаговая, Фэнтези, Одиночная, Сверху/Изометрия"
Midnight Train,0.0,,LydiaBluebell,"Приключение, Детектив/Тайна, Хоррор, Одиночная, Сверху/Изометрия"
Galactic Disharmony,0.0,,Harrison Went,"Экшн, Стратегия, Шутер, Научная фантастика, Одиночная, От первого лица"
College Bound: Arctic Adventure,0.0,,FOZ,"Для взрослых (18+), Визуальная новелла, Одиночная"
A Passing in the Night,0.0,,.iris,"Приключение, Хоррор, Одиночная, От третьего лица"
Mario Artist: Talent Studio,0.0,,Nintendo,"Обучающая, Одиночная"
FlowScape,0.0,,Pixel Forest Games,"Симулятор, Песочница, Одиночная"
Memories: Millennium Girl,0.0,,V Sisters,"Симулятор, Одиночная, От первого лица"
Songs of Conquest - Yulan,3.9,,Lavapotion,"Дополнение, Мультиплеер, Ролевая, Стратегия, Пошаговая, Война, Фэнтези, Одиночная, Кооперативная, Разделённый экран, Сверху/Изометрия"
"Dreamin' Her -Boku wa, Kanojo no Yume o Miru.",0.0,,LIFE0,"Визуальная новелла, Одиночная, Текст"
Midnight Train: New Moon,0.0,,LydiaBluebell,"Приключение, Детектив/Тайна, Хоррор, Одиночная, Сверху/Изометрия"
Mosaique Neko Waifus 2,3.5,,Lil Hentai Games,"Для взрослых (18+), Головоломка, Одиночная"
Distantia,0.0,,Max H,"Экшн, Платформер, Научная фантастика, Одиночная, Вид сбоку"
ARSONATE,0.0,,Nash,"Карточная, Мультиплеер, Тактика, Хоррор, Триллер, Одиночная, От первого лица"
Iron Bramble,0.0,,Mini Bunnies Emlise,"Экшн, Платформер, Одиночная, Вид сбоку"
Undead West,0.0,,Deathless Games,"Экшн, Шутер, Одиночная, Сверху/Изометрия"
Dungeons 4 - Double Trouble,0.0,,Realmforge Studios,"Мультиплеер, Симулятор, Стратегия, В реальном времени, Фэнтези, Комедия, Одиночная, Кооперативная, Сверху/Изометрия"
Bottled by Bears,0.0,,monoii studio,"Симулятор, Одиночная, Сверху/Изометрия"
Football Mogul 2014,0.0,,Sports Mogul,"Спортивная, Стратегия, Одиночная, Текст"
Beyond The Plastic Wall,0.0,,ARTE France Motvind Studios,"Приключение, Одиночная, Вид сбоку"
Среди Волн,0.0,,VS/Studio,"Экшн, Приключение, Платформер, Научная фантастика, Одиночная, Вид сбоку"
Clouzy!,0.0,,Tinymoon,"Симулятор, Открытый мир, Одиночная, От первого лица"
Lord of the Сlick,0.0,,HugePixel,"Стратегия, В реальном времени, Фэнтези, Одиночная, Вид сбоку"
Iron Harvest: Rusviet Revolution,3.3,,KING Art,"Дополнение, Стратегия, В реальном времени, Война, Одиночная, Сверху/Изометрия"
